"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Apr 16 14:27:48 IST 2021","Fri Apr 16 14:27:49 IST 2021","1583","","Sample","","Sample","test2","test2",""
"passed","Fri Apr 16 14:27:35 IST 2021","Fri Apr 16 14:27:48 IST 2021","12544","","Sample","","Sample","Test","Test",""
